"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.223058133218786","2.05548592827715","0.186907630522088","17.063550036523","21.1851377322229","-3.85780885780886","-1.65549252191851","-5.8744394618834","-0.418781725888325","6.16194331983806","12.9139314369073","6.81314994968132","27.1368352788586","-6.8287271729666","-14.0750555726085","16.9490560127574","7.81642871198372","-4.68763897846137","-8.80493563521364","8.92046662114826","-17.5903165005139","0.664175810874169","-0.41563759901472","7.61167220218679","18.5057800383246","-12.0331802180755","9.97445509242156","7.46525460335853","-0.907264204095974","0.92339797912293","5.25337330818787","4.39982167334802","-2.21528256776249","6.29436798220279","4.30348689635655","7.00058502573112","",
"Africa Eastern and Southern","AFE","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","1.25538163637062","0.939009578596518","0.482740849530871","0.268757978255418","1.33448889404488","0.424430416045907","0.259052109708798","0.0473000234816805","0.0608750767147127","-0.17225900245896","0.267080114062012","0.18855812119925","0.397940872069101","0.181656718204293","0.405795600619945","0.0720671482850231","0.290535982429445","0.156802452330695","0.269234574291453","0.18912153942435","0.0341828175434537","0.503787391626943","0.279039340820154","0.361221948946564","0.505654125657599","1.01212167934918","0.799338639347859","2.08906359677421","1.58813361748857","2.43639466698013","1.55190736293779","4.81750176991933","2.49322652122816","2.48179836598406","1.85813675171169","2.05651231729358","1.2671544637061","2.47173599921262","3.23176715662222","2.62403326995387","1.66116276117215","1.87971212873101","2.58867719152686","2.23762554643071","2.82812260924674","3.19594777910436","2.01800370685217","1.07652116669239","1.33800956425062","1.49771069306205","1.48176628831122","5.03960092216627","1.71655358999026","",
"Afghanistan","AFG","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","0.0131512243609448","0.0245752714393039","0.00940111467749321","0.0155769236960059","","","0.00156521738449906","-0.00812641060285658","","0.0324504958728158","0.247135743279599","0.005174215982803","","","","","","","","","","","","","","","","","","","","","1.30694988186642","1.27849324326128","3.577104200584","4.36867313365341","3.41377294845747","1.93570173037069","0.455360448830553","0.451889148679072","1.2031179943218","0.293025176967476","0.285440891713646","0.239801182991603","0.20966479421559","0.884000458750617","0.516606084407531","0.274796791444519","0.661572216047427","0.124495985791329","0.0649939571525687","0.144401057184784","","",
"Africa Western and Central","AFW","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","1.56293391729366","2.09431830270655","1.86229327414949","1.83564292692022","1.06967791101705","1.57380185489846","0.866240155284959","0.959628549227899","0.875994871984565","0.86345747849588","-0.275516175752503","0.431018230007955","0.481130391123211","0.569283020462378","0.302853690117895","0.785831544631762","0.191680748899739","0.946303069312882","0.631293841971212","1.89161888798969","0.700628378835842","0.652222424966216","1.00604775584005","1.42437323277102","1.79313394812194","0.460278166181815","0.506332525803496","0.516607826752526","0.582602470168234","1.56468624215321","1.82690648456955","2.18562605377781","2.49649209292335","2.57375276070556","1.83613398942971","2.9922621285718","2.32337536826798","2.79851682606794","2.87353072226955","3.57129055391081","3.18955562019767","3.59161501840969","2.8346980470384","2.29680159259929","1.85555453961868","2.03352673886278","2.01368892729874","2.57608526131425","2.01688135209563","1.51234540435458","1.44915024172216","2.01101118228863","1.74192318287245","",
"Angola","AGO","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","","","","","","0.630595481269407","0.883175192500347","2.08522975029538","1.80257733214432","1.09434687208761","3.67792344580655","3.30658213113404","1.4710828469765","1.49285771243101","1.95926252051592","-2.97963493139281","6.38869285714286","3.46608090526316","4.96492102040816","3.83703655802979","8.52948883994992","2.76276954550391","5.36335987936762","17.1211911611801","40.1672509667103","9.62386631333219","24.0090753409427","11.4061918212721","20.0810143933587","9.32923923994127","-3.52665716521497","-0.0720009964034264","-1.36876239076898","1.89631390104504","3.13666067002336","-3.85111151378283","-2.70487323645008","-1.1437677842485","-5.38013100885348","2.69000565541159","11.0813390112563","-0.340242828705014","-10.038376774369","-8.12589111156365","-5.7808131444487","-3.84826398520141","-6.5485422754911","-6.17951061574256","",
"Albania","ALB","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","","","3.06666159864896","4.89321210624299","2.81772379080922","2.92548596657615","2.8159410758197","2.1031528051092","1.76789579262462","1.28264133419298","4.10877595525929","5.28543275433979","3.10482707446756","3.17270817814522","4.75017450889019","3.25976769159645","3.65485134325294","6.10897966213633","9.6820708554375","11.1706432450789","9.13813124439238","8.13533613546751","7.45135495532692","9.81628458243044","8.69303872198522","8.69053394301893","8.80509197849022","7.85544826704409","7.9463556997158","7.79792048386519","7.05509220945392","6.79614080368671","7.61975588479581","",
"Andorra","AND","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","0.472164794784966","-0.082709686156391","0.266894355002589","-0.806719044453687","-2.88965281052361","1.40765886216288","0.0735670625918948","0.654971886637629","0.568906408965719","0.0974846322700376","-0.492501823350749","1.77399607447761","2.94232000367504","1.52929122079603","1.57859003332016","0.484653807327965","0.658913576051043","0.0264240768230475","0.383028158312015","0.27701490449177","0.471752188929931","0.445108396481546","0.72166214765648","0.873496129339525","0.929782211747695","0.054263894260493","0.596402496825263","1.35688097677379","1.48751982986504","0.42423019205629","0.468948878908614","1.11024156908914","0.763565961253311","1.6356592316332","2.01482035385145","2.94194922842547","3.69835198088327","3.54041445311436","2.42162793252979","2.05083051379384","1.95757785819116","1.33072023128114","1.56957661419976","1.2698390047196","0.876094892299742","0.868293261395483","1.94844122953336","1.23701953177244","1.56005098707296","1.23583987413051","1.31828332093569","2.19365238179385","2.19030340341462","",
"United Arab Emirates","ARE","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","0.108350617107457","0.257271594791379","0.451274583969912","0.164537297435794","0.20681708788172","0.223949268488845","-0.0343377746365328","0.203892014116107","0.106393607647695","0.407195240980733","-0.544187526835552","0.324685539041065","0.128404884092042","0.520707068990223","0.0935487850536073","-0.228435309603761","0.0503179637301319","0.239162943469002","0.72147194906954","0.105319789259975","0.608195467069962","0.408474866706161","0.294815985875101","0.340485312002994","-1.16683578609984","-0.485281532912816","1.14589216998935","0.0867813662286139","3.42266271338375","6.76715211324682","6.03481603902022","5.76543753223521","5.500439718392","1.6048746087372","0.44736736387376","2.93040987406233","1.98210834048853","2.4873633634704","2.43989565729462","2.67360384789356","2.30933522470642","2.60111969078743","2.65141548161459","2.43186975983804","4.27633945801996","5.68984379118046","4.97788443193795","4.48396196586873","",
"Argentina","ARG","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","0.16896520230158","0.237192130683255","1.03939679547597","0.540419266633948","-0.0174264860300956","0.903661918568007","1.34151714709347","1.29887904052817","1.28557885422783","1.9367945155154","1.17980281165114","1.411953029158","2.17392758974997","2.55320340608332","3.12787793868196","2.43876896154487","8.46058217133806","3.66579059535379","0.806164134759348","2.19895819502207","1.29481086883944","2.5050175164097","2.64935441452167","2.38106854489628","2.25129423568361","2.68990096507093","1.20643922647566","2.67516171886537","2.04465997872008","2.80667189982932","1.77920553648531","0.962406650325519","1.97713461784426","0.584748941173009","1.78936504083807","2.23253157689253","1.48500687570697","1.26616924308721","1.41479889665723","2.44137723872318","",
