BIST_30,Merval_Index,Year
17440.349772135418,495.5933354695638,2000
13239.625,358.0316696166992,2001
13603.425048828125,409.7350031534831,2002
15812.89990234375,757.0633341471354,2003
25746.11669921875,1119.8291778564453,2004
38448.249674479164,1502.0875142415364,2005
50462.224934895836,1785.2391560872395,2006
61880.982096354164,2164.1783243815103,2007
46152.2998046875,1755.1566721598308,2008
48886.758463541664,1652.7833099365234,2009
74815.30013020833,2570.4566446940103,2010
73254.2587890625,3094.6391398111978,2011
79535.31770833333,2487.6716512044272,2012
94737.46549479167,4046.3091430664062,2013
93717.36653645833,8376.646565755209,2014
97984.96614583333,11041.186686197916,2015
95141.408203125,14883.561686197916,2016
123389.94205729167,23323.52734375,2017
125481.89908854167,30581.2939453125,2018
125303.7421875,34708.009602864586,2019
63372.44960530599,41429.63916015625,2020
