event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
TUR12227,2020-06-19,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Turkey),Lawyers (Turkey),6,,,0,60,,792,Middle East,Turkey,Aydin,Efeler,,Aydin/Efeler,37.8450,27.8396,1,Haber Ercis,National,"On 19 June 2020, Aydin Bar Association lawyers gathered outside the Aydin courthouse in Aydin town center to protest the government plan to change the law on the structure of bar associations and their election procedure.",0,crowd size=no report,1706035480
TUR12232,2020-06-19,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Turkey),,6,,,0,60,,792,Middle East,Turkey,Istanbul,Adalar,,Adalar,40.8678,29.1331,1,A Haber; Karar,National-Regional,"On 19 June 2020, a group of residents of Buyukada, the largest island of the Prince islands of Istanbul (Adalar) held a protest during the visit of the mayor of Istanbul, against the decision banning the horse carriages in the islands and replacing them with electric vehicles. The protesters said they do not want motor-vehicles in their islands.",0,crowd size=no report,1706579780
TUR12226,2020-06-19,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Turkey),Lawyers (Turkey),6,,,0,60,,792,Middle East,Turkey,Izmir,Konak,,Izmir,38.4127,27.1384,1,Cumhuriyet; Haber Ercis,National,"On 19 June 2020, Izmir Bar Association lawyers gathered outside the Izmir courthouse in Izmir town center to protest the government plan to change the law on the structure of bar associations and their election procedure.",0,crowd size=no report,1715049775
TUR12280,2020-06-19,2020,1,Demonstrations,Protests,Protest with intervention,Protesters (Turkey),Labor Group (Turkey),6,Police Forces of Turkey (2016-),,1,16,,792,Middle East,Turkey,Ankara,Cankaya,,Cankaya,39.9179,32.8627,1,Human Rights Foundation of Turkey,Other,"On 19 June 2020, former public workers who were dismissed by a government decree held a protest at Yuksel Street in Cankaya, Ankara to demand their jobs back. Police intervened in the protest and detained 3 protesters.",0,crowd size=at least 3,1715049775
TUR12213,2020-06-18,2020,1,Strategic developments,Strategic developments,Looting/property destruction,Children of Fire,,3,Civilians (Turkey),,7,37,,792,Middle East,Turkey,Istanbul,Kartal,,Kartal,40.9050,29.1886,2,ANF News,International,"Property destruction: On 18 June 2020, the children of fire initiative carried out an arson attack targeting a multi-story car park, burning down several civilian vehicles in Kartal district of Istanbul.",0,,1592841584
TUR12209,2020-06-18,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Turkey),,6,,,0,60,,792,Middle East,Turkey,Diyarbakir,Yenisehir,,Diyarbakir,37.9136,40.2172,1,Haber 7,National,"On 18 June 2020, families who claim their children have been kidnapped by the PKK continued their sit-in protest in front of the HDP provincial building in Diyarbakir city center for the 290th day. The families accused HDP of working with PKK, and demanded their children be returned.",0,crowd size=no report,1618500960
TUR12221,2020-06-18,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Turkey),Lawyers (Turkey),6,,,0,60,,792,Middle East,Turkey,Istanbul,Sisli,,Sisli,41.0605,28.9872,1,Haber Ercis,National,"On 18 June 2020, a group of lawyers held a demonstration outside the Istanbul courthouse in Sisli, Istanbul to express solidarity with 2 lawyer prisoners who went on hunger strike to demand fair trial.",0,crowd size=no report,1592841584
TUR12214,2020-06-18,2020,1,Strategic developments,Strategic developments,Looting/property destruction,HBDH: Peoples United Revolutionary Movement,,3,Civilians (Turkey),Labor Group (Turkey),7,37,,792,Middle East,Turkey,Gaziantep,Sahinbey,,Gaziantep,37.0594,37.3825,1,Peoples' United Revolutionary Movement,Other,"Property destruction: On 18 June 2020, HBDH militants carried out an attack targeting a factory in 3rd Industrial zone in Gaziantep town. The source did not report on the means of the attack, which reportedly caused major material damage.",0,,1618500941
TUR12222,2020-06-18,2020,1,Strategic developments,Strategic developments,Disrupted weapons use,Military Forces of Turkey (2016-) Gendarmerie,,1,PKK: Kurdistan Workers Party,,2,12,,792,Middle East,Turkey,Hakkari,Semdinli,,Gelisen,37.1179,44.4250,1,Takvim,National,"Weapons seizure: On 18 June 2020, Turkish Gendarmerie forces seized several artillery shells, 3 assault rifles, 3 hand grenades, 5 anti-tank RPGs, total of 2021 rounds of ammunition and other supplies allegedly belonging to PKK, found during a military operation carried out in Gelisen village area of Derecik district, Hakkari.",0,,1618500945
TUR12261,2020-06-18,2020,1,Strategic developments,Strategic developments,Looting/property destruction,YPS: Civil Protection Units,,2,Civilians (Turkey),AKP: Justice and Development Party,7,27,,792,Middle East,Turkey,Antalya,Manavgat,,Manavgat,36.7867,31.4431,1,ANF News,International,"Property destruction: On 18 June 2020, Martyr Mugdat Ay Vengeance Unit of YPS carried out an arson attack targeting a civilian vehicle (belonging to AKP member) in Yaylaalan neighborhood of Manavgat, Antalya. The attack burnt down the vehicle completely, causing material damage.",0,,1593453335
